Time
Flamengo
Santos
Palmeiras
Corinthians
Sao Paulo
Vasco
Fluminense
Gremio
Cruzeiro
Botafogo
Atletico Mineiro
Internacional
Bahia
Sport
Atletico Paranaense
Vitoria
Coritiba
Nautico
Portuguesa
America Mineiro
Goias
Ceara
Fortaleza
Figueirense
Juventude
Avaí
ABC
CSA
CRB
Sampaio Correa
Remo
Paysandu
Guarani
Ponte Preta
Brasil de Pelotas
Londrina
Operario
Botafogo SP
Oeste
XV de Piracicaba
Sao Caetano
Mirassol
Novorizontino
Bragantino
America RN
Chapecoense
Joinville
Tupi
Ipatinga
Parana
Ituano
Ypiranga
Tombense
Sergipe
Confiança
Moto Club
Altos
Manaus
Botafogo PB
Treze
Campinense
Volta Redonda
Boa Esporte
Caxias
Marcílio Dias
Juazeirense
Sao Bernardo
Rio Branco
Ferroviaria
Vila Nova
Criciuma
Brasiliense
Uberlandia
Porto Velho
Fast Clube
Floresta
Atletico Goianiense
Anapolis
Real Ariquemes
Resende
Madureira
Bangu
Caldense
Uberaba
Juventus
Pouso Alegre
Audax
Foz do Iguacu
Iporá
Campinense
Aimoré
Pelotas
Gama
Brasilia
Rondonopolis
Palmas
Democrata
Esportivo
Imperatriz
Central
Boa Vista
Uberaba
Paulista
Grêmio Prudente
